Дата,Турнир,Покрытие,Игрок 1,Игрок 2,Моя оценка П1 (%),Моя оценка П2 (%),Кэф П1,Кэф П2,Прогноз (ставка),Value?,Уверенность (1-5),Краткое обоснование
2026-06-23,ATP 250 Mallorca,Grass,Stefanos Tsitsipas,Ignacio Buse,65,35,1.36,3.125,Tsitsipas ML,Нет (0.65*1.36=0.88),4,"Tsitsipas финалист Mallorca-22 на траве; Buse — клеевик без побед на траве на уровне ATP. Кэф уже учитывает фаворитизм."
2026-06-23,ATP 250 Mallorca,Grass,Grigor Dimitrov,Marc Polmans,82,18,1.168,5.05,Dimitrov ML (пропуск),Нет (0.82*1.168=0.96),5,"Polmans 200+ ATP, форма слабая. Dimitrov на траве элитен (полуфинал Wimbledon, Brisbane). Слишком короткий кэф — value нет."
2026-06-23,ATP 250 Mallorca,Grass,Lorenzo Sonego,Miomir Kecmanovic,53,47,2.00,1.80,Sonego ML,Да (0.53*2.00=1.06),2,"H2H 6-3 в пользу Sonego, на траве итальянец сильнее. Но матч очень открытый — низкая уверенность."
2026-06-23,ATP 250 Eastbourne,Grass,Jacob Fearnley,Thiago Agustin Tirante,68,32,1.45,2.74,Fearnley ML,Нет (0.68*1.45=0.99),4,"Британец с уайлдкард на домашней траве. Tirante — клеевик ранга, на траве 1-3. Кэф адекватный, value нулевой."
2026-06-23,ATP 250 Eastbourne,Grass,Ugo Humbert,Mattia Bellucci,64,36,1.51,2.55,Humbert ML,Нет (0.64*1.51=0.97),3,"Левша Humbert исторически силён на траве (титул Halle, QF Wimbledon). Bellucci пока без значимых результатов на траве."
2026-06-23,ATP 250 Eastbourne,Grass,Jenson Brooksby,Aleksandar Vukic,60,40,1.65,2.30,Brooksby ML,Нет (0.60*1.65=0.99),3,"Brooksby — плоский удар хорошо ложится на траву; ранее побеждал на Wimbledon. Vukic ровный, без явного преимущества покрытия."
2026-06-23,ATP 250 Eastbourne,Grass,Daniel Altmaier,Aleksandar Kovacevic,48,52,1.91,1.98,Пропуск,Нет,1,"Кэфы рынка 50/50. Altmaier — клеевик, Kovacevic чуть универсальнее. Слишком много неопределённости — пропуск."
2026-06-23,WTA 500 Bad Homburg,Grass,Naomi Osaka,Magdalena Frech,68,32,1.45,3.75,Osaka ML,Нет (0.68*1.45=0.99),3,"Osaka — сильная подача, формат травы подходит. Frech лучше на медленных покрытиях. Кэф уже короткий."
2026-06-23,WTA 500 Bad Homburg,Grass,Elise Mertens,Alexandra Eala,58,42,1.65,2.30,Mertens ML,Нет (~0.96),3,"Mertens опытнее на быстрых покрытиях. Eala талантливая молодая левша, но без больших успехов на траве."
2026-06-23,WTA 250 Eastbourne,Grass,Barbora Krejcikova,Kimberly Birrell,62,38,1.55,2.45,Krejcikova ML,Нет (0.62*1.55=0.96),2,"Krejcikova возвращается после травмы, форма нестабильна. Birrell — домашняя уайлдкард на траве. Низкая уверенность."
2026-06-23,БАНКРОЛЛ,—,—,—,—,—,—,—,Bank-management,—,—,"Value-ставок с высокой уверенностью НЕТ. Единственный slight-value (Sonego ML 2.00) при уверенности 2/5 — ставка не рекомендуется. Рекомендация: 0% банка сегодня (skip day). При желании сыграть — макс. 0.5% на Sonego ML."
